ID_Uzorka;GPS_LAT;GPS_LONG
1;18,483093;77,380037
2;18,47797;77,396696
3;18,47554;77,381583
4;18,467661;77,402523
5;18,481985;77,393582
6;18,4786;77,385936
7;18,475232;77,39179
8;18,467542;77,381759
9;18,493442;77,38203
10;18,466173;77,407779
11;18,491013;77,399992
12;18,469715;77,381489
13;18,4892;77,381387
14;18,469548;77,411754
15;18,4886;77,395398
16;18,487805;77,397866
17;18,464567;77,403056
18;18,475965;77,389021
19;18,49227;77,40571
20;18,481442;77,400352
21;18,484779;77,387971
22;18,468671;77,387163
23;18,480512;77,384304
24;18,483947;77,390526
25;18,481535;77,395215
26;18,487552;77,383487
27;18,493821;77,371258
28;18,476443;77,388172
29;18,488482;77,399949
30;18,489286;77,394598
31;18,479196;77,396391
32;18,475784;77,390485
33;18,478678;77,395689
34;18,477953;77,391083
35;18,480633;77,38234
36;18,479337;77,390542
37;18,487;77,402755
38;18,49686;77,379275
39;18,468792;77,370827
40;18,480383;77,396737
41;18,470695;77,380556
42;18,470331;77,408379
43;18,478576;77,397851
44;18,470872;77,386861
45;18,460131;77,377719
46;18,490906;77,386235
47;18,463224;77,380617
48;18,468233;77,386289
49;18,47887;77,390161
50;18,497065;77,403937
51;18,482224;77,376208
52;18,473855;77,379388
53;18,473305;77,397468
54;18,484638;77,39405
55;18,478796;77,389999
56;18,497285;77,389881
57;18,475702;77,383292
58;18,458951;77,393298
59;18,489142;77,381862
60;18,467015;77,393136
61;18,480438;77,402393
62;18,47169;77,407548
63;18,486732;77,401872
64;18,485374;77,395598
65;18,471755;77,395123
66;18,456539;77,406094
67;18,478873;77,365756
68;18,475221;77,401052
69;18,495105;77,401263
70;18,484577;77,408298
71;18,484375;77,379014
72;18,466931;77,370449
73;18,480551;77,388941
74;18,472086;77,389581
75;18,486109;77,385266
76;18,504818;77,390045
77;18,483349;77,394664
78;18,497385;77,388639
79;18,472166;77,39529
80;18,496924;77,373004
81;18,485613;77,380767
82;18,490641;77,382947
83;18,490165;77,396284
84;18,474449;77,405878
85;18,483942;77,370317
86;18,482236;77,401659
87;18,475476;77,395504
88;18,498158;77,382524
89;18,481133;77,396286
90;18,477349;77,406283
91;18,491219;77,396174
92;18,475104;77,391784
93;18,484038;77,404961
94;18,464258;77,372004
95;18,477992;77,375272
96;18,471896;77,386938
97;18,480961;77,386249
98;18,475066;77,385622
99;18,483245;77,385872
100;18,472876;77,397316
101;18,461475;77,409412
102;18,493026;77,380459
103;18,470686;77,393234
104;18,483019;77,378977
105;18,466525;77,390216
106;18,470015;77,393346
107;18,480877;77,393344
108;18,492143;77,385172
109;18,474277;77,393074
110;18,48943;77,391516
111;18,471184;77,396859
112;18,465815;77,389123
113;18,476888;77,387141
114;18,482824;77,384766
115;18,468009;77,370767
116;18,455033;77,39
117;18,48737;77,400098
118;18,490264;77,395472
119;18,463647;77,390007
120;18,479685;77,37125
121;18,482506;77,386862
122;18,491098;77,394408
123;18,483485;77,399908
124;18,485768;77,388104
125;18,474679;77,39379
126;18,491186;77,387121
127;18,476029;77,382302
128;18,471201;77,399113
129;18,48372;77,383305
130;18,493478;77,386873
131;18,467983;77,394809
132;18,480059;77,377461
133;18,484536;77,379886
134;18,488342;77,397682
135;18,481912;77,395174
136;18,476578;77,388582
137;18,471342;77,391406
138;18,495766;77,370013
139;18,477811;77,394179
140;18,482628;77,394764
141;18,4613;77,389264
142;18,491802;77,374218
143;18,473943;77,386331
144;18,463084;77,388022
145;18,474879;77,39681
146;18,477607;77,381768
147;18,488853;77,38447
148;18,464271;77,40392
149;18,492387;77,380379
150;18,473168;77,385566
151;18,488096;77,390127
152;18,467413;77,377392
153;18,479961;77,3929
154;18,494527;77,393842
155;18,499582;77,384144
156;18,473456;77,404708
157;18,483137;77,391779
158;18,499381;77,412711
159;18,467847;77,398243
160;18,480729;77,402271
161;18,474428;77,38678
162;18,469336;77,396274
163;18,495909;77,376477
164;18,482319;77,392943
165;18,468045;77,399322
166;18,462459;77,388911
167;18,478598;77,386641
168;18,489164;77,391074
169;18,488165;77,378968
170;18,46818;77,38586
171;18,499708;77,390946
172;18,478877;77,398567
173;18,480494;77,375253
174;18,462379;77,396845
175;18,483139;77,394433
176;18,483782;77,407617
177;18,494591;77,387557
178;18,472632;77,385533
179;18,478786;77,390716
180;18,489295;77,397538
181;18,473132;77,39112
182;18,483966;77,399883
183;18,488264;77,379875
184;18,493013;77,404396
185;18,486254;77,378488
186;18,48187;77,406667
187;18,483356;77,386991
188;18,490259;77,394549
189;18,491501;77,394675
190;18,472806;77,390772
191;18,490339;77,395221
192;18,460001;77,411912
193;18,50151;77,402043
194;18,476012;77,391108
195;18,489722;77,408508
196;18,472617;77,379991
197;18,472501;77,394933
198;18,473158;77,392951
199;18,463659;77,384592
200;18,490479;77,412934
201;18,473803;77,391043
202;18,478399;77,38754
203;18,498799;77,399809
204;18,470247;77,400336
205;18,467968;77,385568
206;18,460439;77,386367
207;18,488491;77,405253
208;18,466266;77,39953
209;18,471477;77,408928
210;18,488351;77,381472
211;18,491484;77,388314
212;18,498353;77,396576
213;18,485736;77,383927
214;18,489876;77,385292
215;18,467842;77,39879
216;18,483744;77,38622
217;18,485338;77,37471
218;18,478879;77,386738
219;18,472965;77,393046
220;18,494103;77,388975
221;18,487188;77,392186
222;18,47222;77,398816
223;18,467691;77,387506
224;18,459671;77,391636
225;18,477727;77,390518
226;18,474723;77,387533
227;18,483812;77,39335
228;18,477271;77,404364
229;18,479371;77,383267
230;18,483432;77,410024
231;18,488829;77,369694
232;18,476291;77,394362
233;18,47675;77,397941
234;18,488038;77,383412
235;18,467055;77,398201
236;18,503722;77,378496
237;18,485017;77,395857
238;18,47062;77,385401
239;18,47807;77,385215
240;18,477302;77,375942
241;18,478832;77,398487
242;18,489262;77,394166
243;18,474331;77,384046
244;18,497398;77,398552
245;18,487895;77,405301
246;18,485473;77,392369
247;18,481458;77,389547
248;18,471129;77,387612
249;18,486631;77,389842
250;18,495287;77,385157
251;18,486583;77,399575
252;18,476338;77,385652
253;18,483898;77,386252
254;18,48092;77,37269
255;18,471981;77,403105
256;18,490705;77,385373
257;18,457628;77,391577
258;18,464553;77,389667
259;18,49391;77,391927
260;18,479919;77,383538
261;18,480228;77,395347
262;18,483966;77,40649
263;18,468364;77,381466
264;18,488862;77,389343
265;18,480529;77,399037
266;18,467301;77,393224
267;18,488667;77,398405
268;18,485129;77,373115
269;18,472102;77,405183
270;18,468199;77,399327
271;18,481291;77,396586
272;18,473614;77,377533
273;18,483742;77,393362
274;18,4843;77,387533
275;18,486918;77,393738
276;18,479104;77,387735
277;18,491956;77,380744
278;18,484706;77,376957
279;18,467043;77,390813
280;18,489181;77,38424
281;18,474984;77,39403
282;18,469906;77,385356
283;18,457096;77,399112
284;18,472229;77,378732
285;18,474628;77,38697
286;18,468829;77,392647
287;18,471098;77,396033
288;18,486197;77,380826
289;18,474171;77,378131
290;18,465829;77,390465
291;18,493062;77,380402
292;18,481436;77,391787
293;18,494699;77,403467
294;18,475777;77,399804
295;18,483731;77,402091
296;18,479694;77,394277
297;18,468354;77,395972
298;18,488542;77,397006
299;18,486277;77,403051
300;18,494281;77,397212
301;18,486526;77,376483
302;18,469453;77,388049
303;18,479401;77,400992
304;18,474189;77,397327
305;18,478199;77,394555
306;18,48142;77,376181
307;18,484253;77,408013
308;18,503828;77,378374
309;18,474437;77,379573
310;18,478825;77,399715
311;18,511267;77,395906
312;18,470075;77,38132
313;18,476136;77,390749
314;18,486747;77,389344
315;18,481557;77,397956
316;18,47048;77,396075
317;18,490773;77,383797
318;18,478944;77,394023
319;18,488672;77,387085
320;18,472873;77,393268
321;18,483763;77,386958
322;18,478851;77,384308
323;18,495206;77,390036
324;18,480925;77,391108
325;18,482227;77,392897
326;18,46536;77,391266
327;18,487379;77,3839
328;18,481436;77,377786
